WP_004608676.1, WP_003744529.1
WP_004608733.1, WP_003674559.1
WP_004608867.1, WP_002216341.1
WP_004609656.1, WP_003741854.1
WP_004609815.1, WP_003740766.1
WP_039904266.1, WP_003685729.1
WP_039904805.1, WP_003740897.1
WP_039904657.1, WP_003740839.1
WP_004609426.1, WP_003741226.1
WP_004610214.1, WP_003741463.1
WP_050752832.1, WP_003741220.1
WP_039904657.1, WP_003740839.1
WP_004609605.1, WP_003740838.1
WP_004609909.1, WP_003744444.1
WP_039904832.1, WP_002218431.1
WP_004610347.1, WP_003740801.1
WP_039904160.1, WP_003741606.1
WP_004610076.1, WP_002215422.1
WP_004610674.1, WP_003740675.1
WP_004609426.1, WP_003741226.1
WP_222848067.1, WP_003741449.1
WP_004609284.1, WP_003740849.1
WP_039904777.1, WP_003740863.1
WP_004610153.1, WP_003741023.1
WP_004609720.1, WP_003740828.1
WP_004610718.1, WP_003741161.1
WP_004610713.1, WP_003741993.1
WP_004608972.1, WP_003740684.1
WP_004609188.1, WP_003741609.1
WP_039904273.1, WP_003741449.1
WP_039904285.1, WP_003740659.1
WP_004610339.1, WP_003741728.1
WP_004610092.1, WP_002232195.1
WP_004609781.1, WP_003741237.1
WP_004609284.1, WP_003740849.1
WP_004610449.1, WP_003740801.1
WP_004609058.1, WP_003741557.1
WP_039904805.1, WP_003740897.1
WP_004609161.1, WP_003741114.1
WP_004609135.1, WP_003740838.1
WP_004610747.1, WP_003741868.1
WP_004609435.1, WP_003741256.1
WP_003535525.1, WP_002214728.1
WP_004610674.1, WP_003740675.1
WP_004608827.1, WP_003740904.1
WP_004609133.1, WP_003740635.1
WP_004609606.1, WP_003740839.1
WP_004610092.1, WP_002232195.1
WP_004608698.1, WP_003740839.1
WP_004609531.1, WP_003740897.1
WP_039903802.1, WP_003743322.1
WP_004608718.1, WP_003741449.1
WP_004609624.1, WP_003741566.1
WP_004609156.1, WP_003742486.1
WP_004608773.1, WP_003742006.1
WP_004610255.1, WP_003740897.1
WP_004610153.1, WP_003741023.1
WP_039904118.1, WP_002243114.1
WP_004610824.1, WP_003741394.1
WP_039904599.1, WP_003740839.1
WP_004610376.1, WP_003740801.1
WP_004608721.1, WP_003742051.1
WP_004608698.1, WP_003740839.1
WP_004610013.1, WP_003744222.1
